bhs,net
1000000,1000000
1001001,1001001
1001002,1001002
1001003,1001003
1001004,1001004
1001005,1001005
1001006,1001006
1001007,1001007
1001008,1001008
1001009,1001009
1001010,1001010
1001011,1001011
1001012,1001012
1001013,1001013
1001014,1001014
1001015,1001015
1001016,1001016
1001017,1001017
1001018,1001018
1001019,1001019
1001020,1001020
1001021,1001021
1001022,1001022
1001023,1001023
1001024,1001024
1001025,1001025
1001026,1001026
1001027,1001027
1001028,1001028
1001029,1001029
1001030,1001030
1001031,1001031
1002001,1002001
1002002,1002002
1002003,1002003
1002004,1002004
1002005,1002005
1002006,1002006
1002007,1002007
1002008,1002008
1002009,1002009
1002010,1002010
1002011,1002011
1002012,1002012
1002013,1002013
1002014,1002014
1002015,1002015
1002016,1002016
1002017,1002017
1002018,1002018
1002019,1002019
1002020,1002020
1002021,1002021
1002022,1002022
1002023,1002023
1002024,1002024
1002025,1002025
1003001,1003001
1003002,1003002
1003003,1003003
1003004,1003004
1003005,1003005
1003006,1003006
1003007,1003007
1003008,1003008
1003009,1003009
1003010,1003010
1003011,1003011
1003012,1003012
1003013,1003013
1003014,1003014
1003015,1003015
1003016,1003016
1003017,1003017
1003018,1003018
1003019,1003019
1003020,1003020
1003021,1003021
1003022,1003022
1003023,1003023
1003024,1003024
1004001,1004001
1004002,1004002
1004003,1004003
1004004,1004004
1004005,1004005
1004006,1004006
1004007,1004007
1004008,1004008
1004009,1004009
1004010,1004010
1004011,1004011
1004012,1004012
1004013,1004013
1004014,1004014
1004015,1004015
1004016,1004016
1004017,1004017
1004018,1004018
1004019,1004019
1004020,1004020
1004021,1004021
1004022,1004022
1004023,1004023
1004024,1004024
1004025,1004025
1004026,1004026
1005001,1005001
1005002,1005002
1005003,1005003
1005004,1005004
1005005,1005005
1005006,1005006
1005007,1005007
1005008,1005008
1005009,1005009
1005010,1005010
1005011,1005011
1005012,1005012
1005013,1005013
1005014,1005014
1005015,1005015
1005016,1005016
1005017,1005017
1005018,1005018
1005019,1005019
1005020,1005020
1005021,1005021
1005022,1005022
1005023,1005023
1005024,1005024
1005025,1005025
1005026,1005026
1005027,1005027
1005028,1005028
1005029,1005029
1005030,1005030
1005031,1005031
1005032,1005032
1006001,1006001
1006002,1006002
1006003,1006003
1006004,1006004
1006005,1006005
1006006,1006006
1006007,1006007
1006008,1006008
1006009,1006009
1006010,1006010
1006011,1006011
1006012,1006012
1006013,1006013
1006014,1006014
1006015,1006015
1006016,1006016
1006017,1006017
1006018,1006018
1006019,1006019
1006020,1006020
1006021,1006021
1006022,1006022
1007001,1007001
1007002,1007002
1007003,1007003
1007004,1007004
1007005,1007005
1007006,1007006
1007007,1007007
1007008,1007008
1007009,1007009
1007010,1007010
1007011,1007011
1007012,1007012
1007013,1007013
1007014,1007014
1007015,1007015
1007016,1007016
1007017,1007017
1007018,1007018
1007019,1007019
1007020,1007020
1007021,1007021
1007022,1007022
1007023,1007023
1007024,1007024
1008001,1008001
1008002,1008002
1008003,1008003
1008004,1008004
1008005,1008005
1008006,1008006
1008007,1008007
1008008,1008008
1008009,1008009
1008010,1008010
1008011,1008011
1008012,1008012
1008013,1008013
1008014,1008014
1008015,1008015
1008016,1008016
1008017,1008017
1008018,1008018
1008019,1008019
1008020,1008020
1008021,1008021
1008022,1008022
1009001,1009001
1009002,1009002
1009003,1009003
1009004,1009004
1009005,1009005
1009006,1009006
1009007,1009007
1009008,1009008
1009009,1009009
1009010,1009010
1009011,1009011
1009012,1009012
1009013,1009013
1009014,1009014
