"NRSV","Original"
"Gen.5:12","Gen.5:12"
"Gen.5:13","Gen.5:13"
"Gen.5:14","Gen.5:14"
"Gen.5:15","Gen.5:15"
"Gen.5:16","Gen.5:16"
"Gen.5:17","Gen.5:17"
"Gen.5:18","Gen.5:18"
"Gen.5:19","Gen.5:19"
"Gen.5:20","Gen.5:20"
"Gen.5:21","Gen.5:21"
"Gen.5:22","Gen.5:22"
"Gen.5:23","Gen.5:23"
"Gen.5:24","Gen.5:24"
"Gen.5:25","Gen.5:25"
"Gen.5:26","Gen.5:26"
"Gen.5:27","Gen.5:27"
"Gen.5:28","Gen.5:28"
"Gen.5:29","Gen.5:29"
"Gen.5:30","Gen.5:30"
"Gen.5:31","Gen.5:31"
"Gen.5:32","Gen.5:32"
"Gen.6:1","Gen.6:1"
"Gen.6:2","Gen.6:2"
"Gen.6:3","Gen.6:3"
"Gen.6:4","Gen.6:4"
"Gen.6:5","Gen.6:5"
"Gen.6:6","Gen.6:6"
"Gen.6:7","Gen.6:7"
"Gen.6:8","Gen.6:8"
"Gen.6:9","Gen.6:9"
"Gen.6:10","Gen.6:10"
"Gen.6:11","Gen.6:11"
"Gen.6:12","Gen.6:12"
"Gen.6:13","Gen.6:13"
"Gen.6:14","Gen.6:14"
"Gen.6:15","Gen.6:15"
"Gen.6:16","Gen.6:16"
"Gen.6:17","Gen.6:17"
"Gen.6:18","Gen.6:18"
"Gen.6:19","Gen.6:19"
"Gen.6:20","Gen.6:20"
"Gen.6:21","Gen.6:21"
"Gen.6:22","Gen.6:22"
"Gen.7:1","Gen.7:1"
"Gen.7:2","Gen.7:2"
"Gen.7:3","Gen.7:3"
"Gen.7:4","Gen.7:4"
"Gen.7:5","Gen.7:5"
"Gen.7:6","Gen.7:6"
"Gen.7:7","Gen.7:7"
"Gen.7:8","Gen.7:8"
"Gen.7:9","Gen.7:9"
"Gen.7:10","Gen.7:10"
"Gen.7:11","Gen.7:11"
"Gen.7:12","Gen.7:12"
"Gen.7:13","Gen.7:13"
"Gen.7:14","Gen.7:14"
"Gen.7:15","Gen.7:15"
"Gen.7:16","Gen.7:16"
"Gen.7:17","Gen.7:17"
"Gen.7:18","Gen.7:18"
"Gen.7:19","Gen.7:19"
"Gen.7:20","Gen.7:20"
"Gen.7:21","Gen.7:21"
"Gen.7:22","Gen.7:22"
"Gen.7:23","Gen.7:23"
"Gen.7:24","Gen.7:24"
"Gen.8:1","Gen.8:1"
"Gen.8:2","Gen.8:2"
"Gen.8:3","Gen.8:3"
"Gen.8:4","Gen.8:4"
"Gen.8:5","Gen.8:5"
"Gen.8:6","Gen.8:6"
"Gen.8:7","Gen.8:7"
"Gen.8:8","Gen.8:8"
"Gen.8:9","Gen.8:9"
"Gen.8:10","Gen.8:10"
"Gen.8:11","Gen.8:11"
"Gen.8:12","Gen.8:12"
"Gen.8:13","Gen.8:13"
"Gen.8:14","Gen.8:14"
"Gen.8:15","Gen.8:15"
"Gen.8:16","Gen.8:16"
"Gen.8:17","Gen.8:17"
"Gen.8:18","Gen.8:18"
"Gen.8:19","Gen.8:19"
"Gen.8:20","Gen.8:20"
"Gen.8:21","Gen.8:21"
"Gen.8:22","Gen.8:22"
"Gen.9:1","Gen.9:1"
"Gen.9:2","Gen.9:2"
"Gen.9:3","Gen.9:3"
"Gen.9:4","Gen.9:4"
"Gen.9:5","Gen.9:5"
"Gen.9:6","Gen.9:6"
"Gen.9:7","Gen.9:7"
"Gen.9:8","Gen.9:8"
"Gen.9:9","Gen.9:9"
"Gen.9:10","Gen.9:10"
"Gen.9:11","Gen.9:11"
"Gen.9:12","Gen.9:12"
"Gen.9:13","Gen.9:13"
"Gen.9:14","Gen.9:14"
"Gen.9:15","Gen.9:15"
"Gen.9:16","Gen.9:16"
"Gen.9:17","Gen.9:17"
"Gen.9:18","Gen.9:18"
"Gen.9:19","Gen.9:19"
"Gen.9:20","Gen.9:20"
"Gen.9:21","Gen.9:21"
"Gen.9:22","Gen.9:22"
"Gen.9:23","Gen.9:23"
"Gen.9:24","Gen.9:24"
"Gen.9:25","Gen.9:25"
"Gen.9:26","Gen.9:26"
"Gen.9:27","Gen.9:27"
"Gen.9:28","Gen.9:28"
"Gen.9:29","Gen.9:29"
"Gen.10:1","Gen.10:1"
"Gen.10:2","Gen.10:2"
"Gen.10:3","Gen.10:3"
"Gen.10:4","Gen.10:4"
