"NRSV","Original"
"Tobit",":"
"Tob.1:1","Tob.1:1"
"Tob.1:2","Tob.1:2"
"Tob.1:3","Tob.1:3"
"Tob.1:4","Tob.1:4"
"Tob.1:5","Tob.1:5"
"Tob.1:6","Tob.1:6"
"Tob.1:7","Tob.1:7"
"Tob.1:8","Tob.1:8"
"Tob.1:9","Tob.1:9"
"Tob.1:10","Tob.1:10"
"Tob.1:11","Tob.1:11"
"Tob.1:12","Tob.1:12"
"Tob.1:13","Tob.1:13"
"Tob.1:14","Tob.1:14"
"Tob.1:15","Tob.1:15"
"Tob.1:16","Tob.1:16"
"Tob.1:17","Tob.1:17"
"Tob.1:18","Tob.1:18"
"Tob.1:19","Tob.1:19"
"Tob.1:20","Tob.1:20"
"Tob.1:21","Tob.1:21"
"Tob.1:22","Tob.1:22"
"Tob.2:1","Tob.2:1"
"Tob.2:2","Tob.2:2"
"Tob.2:3","Tob.2:3"
"Tob.2:4","Tob.2:4"
"Tob.2:5","Tob.2:5"
"Tob.2:6","Tob.2:6"
"Tob.2:7","Tob.2:7"
"Tob.2:8","Tob.2:8"
"Tob.2:9","Tob.2:9"
"Tob.2:10","Tob.2:10"
"Tob.2:11","Tob.2:11"
"Tob.2:12","Tob.2:12"
"Tob.2:13","Tob.2:13"
"Tob.2:14","Tob.2:14"
"Tob.3:1","Tob.3:1"
"Tob.3:2","Tob.3:2"
"Tob.3:3","Tob.3:3"
"Tob.3:4","Tob.3:4"
"Tob.3:5","Tob.3:5"
"Tob.3:6","Tob.3:6"
"Tob.3:7","Tob.3:7"
"Tob.3:8","Tob.3:8"
"Tob.3:9","Tob.3:9"
"Tob.3:10","Tob.3:10"
"Tob.3:11","Tob.3:11"
"Tob.3:12","Tob.3:12"
"Tob.3:13","Tob.3:13"
"Tob.3:14","Tob.3:14"
"Tob.3:15","Tob.3:15"
"Tob.3:16","Tob.3:16"
"Tob.3:17","Tob.3:17"
"Tob.4:1","Tob.4:1"
"Tob.4:2","Tob.4:2"
"Tob.4:3","Tob.4:3"
"Tob.4:4","Tob.4:4"
"Tob.4:5","Tob.4:5"
"Tob.4:6","Tob.4:6"
"Tob.4:7","Tob.4:7"
"Tob.4:8","Tob.4:8"
"Tob.4:9","Tob.4:9"
"Tob.4:10","Tob.4:10"
"Tob.4:11","Tob.4:11"
"Tob.4:12","Tob.4:12"
"Tob.4:13","Tob.4:13"
"Tob.4:14","Tob.4:14"
"Tob.4:15","Tob.4:15"
"Tob.4:16","Tob.4:16"
"Tob.4:17","Tob.4:17"
"Tob.4:18","Tob.4:18"
"Tob.4:19","Tob.4:19"
"Tob.4:20","Tob.4:20"
"Tob.4:21","Tob.4:21"
"Tob.5:1","Tob.5:1"
"Tob.5:2","Tob.5:2"
"Tob.5:3","Tob.5:3"
"Tob.5:4","Tob.5:4"
"Tob.5:5","Tob.5:5"
"Tob.5:6","Tob.5:6"
"Tob.5:7","Tob.5:7"
"Tob.5:8","Tob.5:8"
"Tob.5:9","Tob.5:9"
"Tob.5:10","Tob.5:10"
"Tob.5:11","Tob.5:11"
"Tob.5:12","Tob.5:12"
"Tob.5:13","Tob.5:13"
"Tob.5:14","Tob.5:14"
"Tob.5:15","Tob.5:15"
"Tob.5:16","Tob.5:16"
"Tob.5:17","Tob.5:17"
"Tob.5:18","Tob.5:18"
"Tob.5:19","Tob.5:19"
"Tob.5:20","Tob.5:20"
"Tob.5:21","Tob.5:21"
"Tob.5:22","Tob.5:22"
"Tob.6:1","Tob.5:23; 6:1"
"Tob.6:2","Tob.6:2"
"Tob.6:3","Tob.6:3"
"Tob.6:4","Tob.6:4"
"Tob.6:5","Tob.6:5"
"Tob.6:6","Tob.6:6"
"Tob.6:7","Tob.6:7"
"Tob.6:8","Tob.6:8"
"Tob.6:9","Tob.6:9"
"Tob.6:10","Tob.6:10"
"Tob.6:11","Tob.6:11"
"Tob.6:12","Tob.6:12"
"Tob.6:13","Tob.6:13"
"Tob.6:14","Tob.6:14"
