"NRSV","Original"
"Mat.4:5","Mat.4:5"
"Mat.4:6","Mat.4:6"
"Mat.4:7","Mat.4:7"
"Mat.4:8","Mat.4:8"
"Mat.4:9","Mat.4:9"
"Mat.4:10","Mat.4:10"
"Mat.4:11","Mat.4:11"
"Mat.4:12","Mat.4:12"
"Mat.4:13","Mat.4:13"
"Mat.4:14","Mat.4:14"
"Mat.4:15","Mat.4:15"
"Mat.4:16","Mat.4:16"
"Mat.4:17","Mat.4:17"
"Mat.4:18","Mat.4:18"
"Mat.4:19","Mat.4:19"
"Mat.4:20","Mat.4:20"
"Mat.4:21","Mat.4:21"
"Mat.4:22","Mat.4:22"
"Mat.4:23","Mat.4:23"
"Mat.4:24","Mat.4:24"
"Mat.4:25","Mat.4:25"
"Mat.5:1","Mat.5:1"
"Mat.5:2","Mat.5:2"
"Mat.5:3","Mat.5:3"
"Mat.5:4","Mat.5:4"
"Mat.5:5","Mat.5:5"
"Mat.5:6","Mat.5:6"
"Mat.5:7","Mat.5:7"
"Mat.5:8","Mat.5:8"
"Mat.5:9","Mat.5:9"
"Mat.5:10","Mat.5:10"
"Mat.5:11","Mat.5:11"
"Mat.5:12","Mat.5:12"
"Mat.5:13","Mat.5:13"
"Mat.5:14","Mat.5:14"
"Mat.5:15","Mat.5:15"
"Mat.5:16","Mat.5:16"
"Mat.5:17","Mat.5:17"
"Mat.5:18","Mat.5:18"
"Mat.5:19","Mat.5:19"
"Mat.5:20","Mat.5:20"
"Mat.5:21","Mat.5:21"
"Mat.5:22","Mat.5:22"
"Mat.5:23","Mat.5:23"
"Mat.5:24","Mat.5:24"
"Mat.5:25","Mat.5:25"
"Mat.5:26","Mat.5:26"
"Mat.5:27","Mat.5:27"
"Mat.5:28","Mat.5:28"
"Mat.5:29","Mat.5:29"
"Mat.5:30","Mat.5:30"
"Mat.5:31","Mat.5:31"
"Mat.5:32","Mat.5:32"
"Mat.5:33","Mat.5:33"
"Mat.5:34","Mat.5:34"
"Mat.5:35","Mat.5:35"
"Mat.5:36","Mat.5:36"
"Mat.5:37","Mat.5:37"
"Mat.5:38","Mat.5:38"
"Mat.5:39","Mat.5:39"
"Mat.5:40","Mat.5:40"
"Mat.5:41","Mat.5:41"
"Mat.5:42","Mat.5:42"
"Mat.5:43","Mat.5:43"
"Mat.5:44","Mat.5:44"
"Mat.5:45","Mat.5:45"
"Mat.5:46","Mat.5:46"
"Mat.5:47","Mat.5:47"
"Mat.5:48","Mat.5:48"
"Mat.6:1","Mat.6:1"
"Mat.6:2","Mat.6:2"
"Mat.6:3","Mat.6:3"
"Mat.6:4","Mat.6:4"
"Mat.6:5","Mat.6:5"
"Mat.6:6","Mat.6:6"
"Mat.6:7","Mat.6:7"
"Mat.6:8","Mat.6:8"
"Mat.6:9","Mat.6:9"
"Mat.6:10","Mat.6:10"
"Mat.6:11","Mat.6:11"
"Mat.6:12","Mat.6:12"
"Mat.6:13","Mat.6:13"
"Mat.6:14","Mat.6:14"
"Mat.6:15","Mat.6:15"
"Mat.6:16","Mat.6:16"
"Mat.6:17","Mat.6:17"
"Mat.6:18","Mat.6:18"
"Mat.6:19","Mat.6:19"
"Mat.6:20","Mat.6:20"
"Mat.6:21","Mat.6:21"
"Mat.6:22","Mat.6:22"
"Mat.6:23","Mat.6:23"
"Mat.6:24","Mat.6:24"
"Mat.6:25","Mat.6:25"
"Mat.6:26","Mat.6:26"
"Mat.6:27","Mat.6:27"
"Mat.6:28","Mat.6:28"
"Mat.6:29","Mat.6:29"
"Mat.6:30","Mat.6:30"
"Mat.6:31","Mat.6:31"
"Mat.6:32","Mat.6:32"
"Mat.6:33","Mat.6:33"
"Mat.6:34","Mat.6:34"
"Mat.7:1","Mat.7:1"
"Mat.7:2","Mat.7:2"
"Mat.7:3","Mat.7:3"
"Mat.7:4","Mat.7:4"
"Mat.7:5","Mat.7:5"
"Mat.7:6","Mat.7:6"
"Mat.7:7","Mat.7:7"
"Mat.7:8","Mat.7:8"
"Mat.7:9","Mat.7:9"
"Mat.7:10","Mat.7:10"
"Mat.7:11","Mat.7:11"
"Mat.7:12","Mat.7:12"
"Mat.7:13","Mat.7:13"
"Mat.7:14","Mat.7:14"
"Mat.7:15","Mat.7:15"
"Mat.7:16","Mat.7:16"
"Mat.7:17","Mat.7:17"
"Mat.7:18","Mat.7:18"
"Mat.7:19","Mat.7:19"
"Mat.7:20","Mat.7:20"
"Mat.7:21","Mat.7:21"
"Mat.7:22","Mat.7:22"
"Mat.7:23","Mat.7:23"
"Mat.7:24","Mat.7:24"
"Mat.7:25","Mat.7:25"
"Mat.7:26","Mat.7:26"
"Mat.7:27","Mat.7:27"
"Mat.7:28","Mat.7:28"
"Mat.7:29","Mat.7:29"
"Mat.8:1","Mat.8:1"
"Mat.8:2","Mat.8:2"
"Mat.8:3","Mat.8:3"
"Mat.8:4","Mat.8:4"
"Mat.8:5","Mat.8:5"
"Mat.8:6","Mat.8:6"
"Mat.8:7","Mat.8:7"
"Mat.8:8","Mat.8:8"
"Mat.8:9","Mat.8:9"
"Mat.8:10","Mat.8:10"
"Mat.8:11","Mat.8:11"
"Mat.8:12","Mat.8:12"
"Mat.8:13","Mat.8:13"
"Mat.8:14","Mat.8:14"
"Mat.8:15","Mat.8:15"
"Mat.8:16","Mat.8:16"
"Mat.8:17","Mat.8:17"
"Mat.8:18","Mat.8:18"
"Mat.8:19","Mat.8:19"
"Mat.8:20","Mat.8:20"
"Mat.8:21","Mat.8:21"
"Mat.8:22","Mat.8:22"
"Mat.8:23","Mat.8:23"
"Mat.8:24","Mat.8:24"
"Mat.8:25","Mat.8:25"
"Mat.8:26","Mat.8:26"
"Mat.8:27","Mat.8:27"
"Mat.8:28","Mat.8:28"
"Mat.8:29","Mat.8:29"
"Mat.8:30","Mat.8:30"
"Mat.8:31","Mat.8:31"
"Mat.8:32","Mat.8:32"
"Mat.8:33","Mat.8:33"
"Mat.8:34","Mat.8:34"
"Mat.9:1","Mat.9:1"
"Mat.9:2","Mat.9:2"
"Mat.9:3","Mat.9:3"
"Mat.9:4","Mat.9:4"
"Mat.9:5","Mat.9:5"
"Mat.9:6","Mat.9:6"
"Mat.9:7","Mat.9:7"
"Mat.9:8","Mat.9:8"
"Mat.9:9","Mat.9:9"
"Mat.9:10","Mat.9:10"
"Mat.9:11","Mat.9:11"
"Mat.9:12","Mat.9:12"
"Mat.9:13","Mat.9:13"
"Mat.9:14","Mat.9:14"
"Mat.9:15","Mat.9:15"
"Mat.9:16","Mat.9:16"
"Mat.9:17","Mat.9:17"
"Mat.9:18","Mat.9:18"
"Mat.9:19","Mat.9:19"
"Mat.9:20","Mat.9:20"
"Mat.9:21","Mat.9:21"
"Mat.9:22","Mat.9:22"
"Mat.9:23","Mat.9:23"
"Mat.9:24","Mat.9:24"
"Mat.9:25","Mat.9:25"
"Mat.9:26","Mat.9:26"
"Mat.9:27","Mat.9:27"
"Mat.9:28","Mat.9:28"
"Mat.9:29","Mat.9:29"
"Mat.9:30","Mat.9:30"
"Mat.9:31","Mat.9:31"
"Mat.9:32","Mat.9:32"
"Mat.9:33","Mat.9:33"
"Mat.9:34","Mat.9:34"
"Mat.9:35","Mat.9:35"
"Mat.9:36","Mat.9:36"
"Mat.9:37","Mat.9:37"
"Mat.9:38","Mat.9:38"
"Mat.10:1","Mat.10:1"
"Mat.10:2","Mat.10:2"
"Mat.10:3","Mat.10:3"
"Mat.10:4","Mat.10:4"
"Mat.10:5","Mat.10:5"
"Mat.10:6","Mat.10:6"
"Mat.10:7","Mat.10:7"
"Mat.10:8","Mat.10:8"
"Mat.10:9","Mat.10:9"
"Mat.10:10","Mat.10:10"
"Mat.10:11","Mat.10:11"
"Mat.10:12","Mat.10:12"
"Mat.10:13","Mat.10:13"
"Mat.10:14","Mat.10:14"
"Mat.10:15","Mat.10:15"
"Mat.10:16","Mat.10:16"
"Mat.10:17","Mat.10:17"
"Mat.10:18","Mat.10:18"
"Mat.10:19","Mat.10:19"
"Mat.10:20","Mat.10:20"
"Mat.10:21","Mat.10:21"
"Mat.10:22","Mat.10:22"
"Mat.10:23","Mat.10:23"
"Mat.10:24","Mat.10:24"
"Mat.10:25","Mat.10:25"
"Mat.10:26","Mat.10:26"
"Mat.10:27","Mat.10:27"
"Mat.10:28","Mat.10:28"
"Mat.10:29","Mat.10:29"
"Mat.10:30","Mat.10:30"
"Mat.10:31","Mat.10:31"
"Mat.10:32","Mat.10:32"
"Mat.10:33","Mat.10:33"
"Mat.10:34","Mat.10:34"
"Mat.10:35","Mat.10:35"
"Mat.10:36","Mat.10:36"
"Mat.10:37","Mat.10:37"
"Mat.10:38","Mat.10:38"
"Mat.10:39","Mat.10:39"
"Mat.10:40","Mat.10:40"
"Mat.10:41","Mat.10:41"
"Mat.10:42","Mat.10:42"
"Mat.11:1","Mat.11:1"
"Mat.11:2","Mat.11:2"
"Mat.11:3","Mat.11:3"
"Mat.11:4","Mat.11:4"
"Mat.11:5","Mat.11:5"
"Mat.11:6","Mat.11:6"
"Mat.11:7","Mat.11:7"
"Mat.11:8","Mat.11:8"
"Mat.11:9","Mat.11:9"
"Mat.11:10","Mat.11:10"
"Mat.11:11","Mat.11:11"
"Mat.11:12","Mat.11:12"
"Mat.11:13","Mat.11:13"
"Mat.11:14","Mat.11:14"
"Mat.11:15","Mat.11:15"
"Mat.11:16","Mat.11:16"
"Mat.11:17","Mat.11:17"
"Mat.11:18","Mat.11:18"
"Mat.11:19","Mat.11:19"
"Mat.11:20","Mat.11:20"
"Mat.11:21","Mat.11:21"
"Mat.11:22","Mat.11:22"
"Mat.11:23","Mat.11:23"
"Mat.11:24","Mat.11:24"
"Mat.11:25","Mat.11:25"
"Mat.11:26","Mat.11:26"
"Mat.11:27","Mat.11:27"
"Mat.11:28","Mat.11:28"
"Mat.11:29","Mat.11:29"
"Mat.11:30","Mat.11:30"
"Mat.12:1","Mat.12:1"
"Mat.12:2","Mat.12:2"
"Mat.12:3","Mat.12:3"
"Mat.12:4","Mat.12:4"
"Mat.12:5","Mat.12:5"
"Mat.12:6","Mat.12:6"
"Mat.12:7","Mat.12:7"
"Mat.12:8","Mat.12:8"
"Mat.12:9","Mat.12:9"
"Mat.12:10","Mat.12:10"
"Mat.12:11","Mat.12:11"
"Mat.12:12","Mat.12:12"
"Mat.12:13","Mat.12:13"
"Mat.12:14","Mat.12:14"
"Mat.12:15","Mat.12:15"
"Mat.12:16","Mat.12:16"
"Mat.12:17","Mat.12:17"
"Mat.12:18","Mat.12:18"
"Mat.12:19","Mat.12:19"
"Mat.12:20","Mat.12:20"
"Mat.12:21","Mat.12:21"
"Mat.12:22","Mat.12:22"
"Mat.12:23","Mat.12:23"
"Mat.12:24","Mat.12:24"
"Mat.12:25","Mat.12:25"
"Mat.12:26","Mat.12:26"
"Mat.12:27","Mat.12:27"
"Mat.12:28","Mat.12:28"
"Mat.12:29","Mat.12:29"
"Mat.12:30","Mat.12:30"
"Mat.12:31","Mat.12:31"
"Mat.12:32","Mat.12:32"
"Mat.12:33","Mat.12:33"
"Mat.12:34","Mat.12:34"
"Mat.12:35","Mat.12:35"
"Mat.12:36","Mat.12:36"
"Mat.12:37","Mat.12:37"
"Mat.12:38","Mat.12:38"
"Mat.12:39","Mat.12:39"
"Mat.12:40","Mat.12:40"
"Mat.12:41","Mat.12:41"
"Mat.12:42","Mat.12:42"
"Mat.12:43","Mat.12:43"
"Mat.12:44","Mat.12:44"
"Mat.12:45","Mat.12:45"
"Mat.12:46","Mat.12:46"
"Mat.12:47","Mat.12:47"
"Mat.12:48","Mat.12:48"
"Mat.12:49","Mat.12:49"
"Mat.12:50","Mat.12:50"
"Mat.13:1","Mat.13:1"
"Mat.13:2","Mat.13:2"
"Mat.13:3","Mat.13:3"
"Mat.13:4","Mat.13:4"
"Mat.13:5","Mat.13:5"
"Mat.13:6","Mat.13:6"
"Mat.13:7","Mat.13:7"
"Mat.13:8","Mat.13:8"
"Mat.13:9","Mat.13:9"
"Mat.13:10","Mat.13:10"
"Mat.13:11","Mat.13:11"
"Mat.13:12","Mat.13:12"
"Mat.13:13","Mat.13:13"
"Mat.13:14","Mat.13:14"
"Mat.13:15","Mat.13:15"
"Mat.13:16","Mat.13:16"
"Mat.13:17","Mat.13:17"
"Mat.13:18","Mat.13:18"
"Mat.13:19","Mat.13:19"
"Mat.13:20","Mat.13:20"
"Mat.13:21","Mat.13:21"
"Mat.13:22","Mat.13:22"
"Mat.13:23","Mat.13:23"
"Mat.13:24","Mat.13:24"
"Mat.13:25","Mat.13:25"
"Mat.13:26","Mat.13:26"
"Mat.13:27","Mat.13:27"
"Mat.13:28","Mat.13:28"
"Mat.13:29","Mat.13:29"
"Mat.13:30","Mat.13:30"
"Mat.13:31","Mat.13:31"
"Mat.13:32","Mat.13:32"
"Mat.13:33","Mat.13:33"
"Mat.13:34","Mat.13:34"
"Mat.13:35","Mat.13:35"
"Mat.13:36","Mat.13:36"
"Mat.13:37","Mat.13:37"
"Mat.13:38","Mat.13:38"
"Mat.13:39","Mat.13:39"
"Mat.13:40","Mat.13:40"
"Mat.13:41","Mat.13:41"
"Mat.13:42","Mat.13:42"
"Mat.13:43","Mat.13:43"
"Mat.13:44","Mat.13:44"
"Mat.13:45","Mat.13:45"
"Mat.13:46","Mat.13:46"
"Mat.13:47","Mat.13:47"
"Mat.13:48","Mat.13:48"
"Mat.13:49","Mat.13:49"
"Mat.13:50","Mat.13:50"
"Mat.13:51","Mat.13:51"
"Mat.13:52","Mat.13:52"
"Mat.13:53","Mat.13:53"
"Mat.13:54","Mat.13:54"
"Mat.13:55","Mat.13:55"
"Mat.13:56","Mat.13:56"
"Mat.13:57","Mat.13:57"
"Mat.13:58","Mat.13:58"
"Mat.14:1","Mat.14:1"
"Mat.14:2","Mat.14:2"
"Mat.14:3","Mat.14:3"
"Mat.14:4","Mat.14:4"
"Mat.14:5","Mat.14:5"
"Mat.14:6","Mat.14:6"
"Mat.14:7","Mat.14:7"
"Mat.14:8","Mat.14:8"
"Mat.14:9","Mat.14:9"
"Mat.14:10","Mat.14:10"
"Mat.14:11","Mat.14:11"
"Mat.14:12","Mat.14:12"
"Mat.14:13","Mat.14:13"
"Mat.14:14","Mat.14:14"
"Mat.14:15","Mat.14:15"
"Mat.14:16","Mat.14:16"
"Mat.14:17","Mat.14:17"
"Mat.14:18","Mat.14:18"
"Mat.14:19","Mat.14:19"
"Mat.14:20","Mat.14:20"
"Mat.14:21","Mat.14:21"
"Mat.14:22","Mat.14:22"
"Mat.14:23","Mat.14:23"
"Mat.14:24","Mat.14:24"
"Mat.14:25","Mat.14:25"
"Mat.14:26","Mat.14:26"
"Mat.14:27","Mat.14:27"
"Mat.14:28","Mat.14:28"
"Mat.14:29","Mat.14:29"
"Mat.14:30","Mat.14:30"
"Mat.14:31","Mat.14:31"
"Mat.14:32","Mat.14:32"
"Mat.14:33","Mat.14:33"
"Mat.14:34","Mat.14:34"
"Mat.14:35","Mat.14:35"
"Mat.14:36","Mat.14:36"
"Mat.15:1","Mat.15:1"
"Mat.15:2","Mat.15:2"
"Mat.15:3","Mat.15:3"
"Mat.15:4","Mat.15:4"
"Mat.15:5","Mat.15:5"
"Mat.15:6","Mat.15:6"
"Mat.15:7","Mat.15:7"
"Mat.15:8","Mat.15:8"
"Mat.15:9","Mat.15:9"
"Mat.15:10","Mat.15:10"
"Mat.15:11","Mat.15:11"
"Mat.15:12","Mat.15:12"
"Mat.15:13","Mat.15:13"
"Mat.15:14","Mat.15:14"
"Mat.15:15","Mat.15:15"
"Mat.15:16","Mat.15:16"
"Mat.15:17","Mat.15:17"
"Mat.15:18","Mat.15:18"
"Mat.15:19","Mat.15:19"
"Mat.15:20","Mat.15:20"
"Mat.15:21","Mat.15:21"
"Mat.15:22","Mat.15:22"
"Mat.15:23","Mat.15:23"
"Mat.15:24","Mat.15:24"
"Mat.15:25","Mat.15:25"
"Mat.15:26","Mat.15:26"
"Mat.15:27","Mat.15:27"
"Mat.15:28","Mat.15:28"
"Mat.15:29","Mat.15:29"
"Mat.15:30","Mat.15:30"
"Mat.15:31","Mat.15:31"
"Mat.15:32","Mat.15:32"
"Mat.15:33","Mat.15:33"
"Mat.15:34","Mat.15:34"
"Mat.15:35","Mat.15:35"
"Mat.15:36","Mat.15:36"
"Mat.15:37","Mat.15:37"
"Mat.15:38","Mat.15:38"
"Mat.15:39","Mat.15:39"
"Mat.16:1","Mat.16:1"
"Mat.16:2","Mat.16:2"
"Mat.16:3","Mat.16:3"
"Mat.16:4","Mat.16:4"
"Mat.16:5","Mat.16:5"
"Mat.16:6","Mat.16:6"
"Mat.16:7","Mat.16:7"
"Mat.16:8","Mat.16:8"
"Mat.16:9","Mat.16:9"
"Mat.16:10","Mat.16:10"
"Mat.16:11","Mat.16:11"
"Mat.16:12","Mat.16:12"
"Mat.16:13","Mat.16:13"
"Mat.16:14","Mat.16:14"
"Mat.16:15","Mat.16:15"
"Mat.16:16","Mat.16:16"
"Mat.16:17","Mat.16:17"
"Mat.16:18","Mat.16:18"
"Mat.16:19","Mat.16:19"
"Mat.16:20","Mat.16:20"
"Mat.16:21","Mat.16:21"
"Mat.16:22","Mat.16:22"
"Mat.16:23","Mat.16:23"
"Mat.16:24","Mat.16:24"
"Mat.16:25","Mat.16:25"
"Mat.16:26","Mat.16:26"
"Mat.16:27","Mat.16:27"
"Mat.16:28","Mat.16:28"
"Mat.17:1","Mat.17:1"
"Mat.17:2","Mat.17:2"
"Mat.17:3","Mat.17:3"
"Mat.17:4","Mat.17:4"
"Mat.17:5","Mat.17:5"
"Mat.17:6","Mat.17:6"
"Mat.17:7","Mat.17:7"
"Mat.17:8","Mat.17:8"
"Mat.17:9","Mat.17:9"
"Mat.17:10","Mat.17:10"
"Mat.17:11","Mat.17:11"
"Mat.17:12","Mat.17:12"
"Mat.17:13","Mat.17:13"
"Mat.17:14","Mat.17:14"
"Mat.17:15","Mat.17:15"
"Mat.17:16","Mat.17:16"
"Mat.17:17","Mat.17:17"
"Mat.17:18","Mat.17:18"
"Mat.17:19","Mat.17:19"
"Mat.17:20","Mat.17:20"
"Mat.17:21","Mat.17:21"
"Mat.17:22","Mat.17:22"
"Mat.17:23","Mat.17:23"
"Mat.17:24","Mat.17:24"
"Mat.17:25","Mat.17:25"
"Mat.17:26","Mat.17:26"
"Mat.17:27","Mat.17:27"
"Mat.18:1","Mat.18:1"
"Mat.18:2","Mat.18:2"
"Mat.18:3","Mat.18:3"
"Mat.18:4","Mat.18:4"
"Mat.18:5","Mat.18:5"
"Mat.18:6","Mat.18:6"
"Mat.18:7","Mat.18:7"
"Mat.18:8","Mat.18:8"
"Mat.18:9","Mat.18:9"
"Mat.18:10","Mat.18:10"
"Mat.18:11","Mat.18:11"
"Mat.18:12","Mat.18:12"
"Mat.18:13","Mat.18:13"
"Mat.18:14","Mat.18:14"
"Mat.18:15","Mat.18:15"
"Mat.18:16","Mat.18:16"
"Mat.18:17","Mat.18:17"
"Mat.18:18","Mat.18:18"
"Mat.18:19","Mat.18:19"
"Mat.18:20","Mat.18:20"
"Mat.18:21","Mat.18:21"
"Mat.18:22","Mat.18:22"
"Mat.18:23","Mat.18:23"
"Mat.18:24","Mat.18:24"
"Mat.18:25","Mat.18:25"
"Mat.18:26","Mat.18:26"
"Mat.18:27","Mat.18:27"
"Mat.18:28","Mat.18:28"
"Mat.18:29","Mat.18:29"
"Mat.18:30","Mat.18:30"
"Mat.18:31","Mat.18:31"
"Mat.18:32","Mat.18:32"
"Mat.18:33","Mat.18:33"
"Mat.18:34","Mat.18:34"
"Mat.18:35","Mat.18:35"
"Mat.19:1","Mat.19:1"
"Mat.19:2","Mat.19:2"
"Mat.19:3","Mat.19:3"
"Mat.19:4","Mat.19:4"
"Mat.19:5","Mat.19:5"
"Mat.19:6","Mat.19:6"
"Mat.19:7","Mat.19:7"
"Mat.19:8","Mat.19:8"
"Mat.19:9","Mat.19:9"
"Mat.19:10","Mat.19:10"
"Mat.19:11","Mat.19:11"
"Mat.19:12","Mat.19:12"
"Mat.19:13","Mat.19:13"
"Mat.19:14","Mat.19:14"
"Mat.19:15","Mat.19:15"
"Mat.19:16","Mat.19:16"
"Mat.19:17","Mat.19:17"
"Mat.19:18","Mat.19:18"
"Mat.19:19","Mat.19:19"
"Mat.19:20","Mat.19:20"
"Mat.19:21","Mat.19:21"
"Mat.19:22","Mat.19:22"
"Mat.19:23","Mat.19:23"
"Mat.19:24","Mat.19:24"
"Mat.19:25","Mat.19:25"
"Mat.19:26","Mat.19:26"
"Mat.19:27","Mat.19:27"
"Mat.19:28","Mat.19:28"
"Mat.19:29","Mat.19:29"
"Mat.19:30","Mat.19:30"
"Mat.20:1","Mat.20:1"
"Mat.20:2","Mat.20:2"
"Mat.20:3","Mat.20:3"
"Mat.20:4","Mat.20:4"
"Mat.20:5","Mat.20:5"
"Mat.20:6","Mat.20:6"
"Mat.20:7","Mat.20:7"
"Mat.20:8","Mat.20:8"
"Mat.20:9","Mat.20:9"
"Mat.20:10","Mat.20:10"
"Mat.20:11","Mat.20:11"
"Mat.20:12","Mat.20:12"
"Mat.20:13","Mat.20:13"
"Mat.20:14","Mat.20:14"
"Mat.20:15","Mat.20:15"
"Mat.20:16","Mat.20:16"
"Mat.20:17","Mat.20:17"
"Mat.20:18","Mat.20:18"
"Mat.20:19","Mat.20:19"
"Mat.20:20","Mat.20:20"
"Mat.20:21","Mat.20:21"
"Mat.20:22","Mat.20:22"
"Mat.20:23","Mat.20:23"
"Mat.20:24","Mat.20:24"
"Mat.20:25","Mat.20:25"
"Mat.20:26","Mat.20:26"
"Mat.20:27","Mat.20:27"
"Mat.20:28","Mat.20:28"
"Mat.20:29","Mat.20:29"
"Mat.20:30","Mat.20:30"
"Mat.20:31","Mat.20:31"
"Mat.20:32","Mat.20:32"
"Mat.20:33","Mat.20:33"
"Mat.20:34","Mat.20:34"
"Mat.21:1","Mat.21:1"
"Mat.21:2","Mat.21:2"
"Mat.21:3","Mat.21:3"
"Mat.21:4","Mat.21:4"
"Mat.21:5","Mat.21:5"
"Mat.21:6","Mat.21:6"
"Mat.21:7","Mat.21:7"
"Mat.21:8","Mat.21:8"
"Mat.21:9","Mat.21:9"
"Mat.21:10","Mat.21:10"
"Mat.21:11","Mat.21:11"
"Mat.21:12","Mat.21:12"
"Mat.21:13","Mat.21:13"
"Mat.21:14","Mat.21:14"
"Mat.21:15","Mat.21:15"
"Mat.21:16","Mat.21:16"
"Mat.21:17","Mat.21:17"
"Mat.21:18","Mat.21:18"
"Mat.21:19","Mat.21:19"
"Mat.21:20","Mat.21:20"
"Mat.21:21","Mat.21:21"
"Mat.21:22","Mat.21:22"
"Mat.21:23","Mat.21:23"
"Mat.21:24","Mat.21:24"
"Mat.21:25","Mat.21:25"
"Mat.21:26","Mat.21:26"
"Mat.21:27","Mat.21:27"
"Mat.21:28","Mat.21:28"
"Mat.21:29","Mat.21:29"
"Mat.21:30","Mat.21:30"
"Mat.21:31","Mat.21:31"
"Mat.21:32","Mat.21:32"
"Mat.21:33","Mat.21:33"
"Mat.21:34","Mat.21:34"
"Mat.21:35","Mat.21:35"
"Mat.21:36","Mat.21:36"
"Mat.21:37","Mat.21:37"
"Mat.21:38","Mat.21:38"
"Mat.21:39","Mat.21:39"
"Mat.21:40","Mat.21:40"
"Mat.21:41","Mat.21:41"
"Mat.21:42","Mat.21:42"
"Mat.21:43","Mat.21:43"
"Mat.21:44","Mat.21:44"
"Mat.21:45","Mat.21:45"
"Mat.21:46","Mat.21:46"
"Mat.22:1","Mat.22:1"
"Mat.22:2","Mat.22:2"
"Mat.22:3","Mat.22:3"
"Mat.22:4","Mat.22:4"
"Mat.22:5","Mat.22:5"
"Mat.22:6","Mat.22:6"
"Mat.22:7","Mat.22:7"
"Mat.22:8","Mat.22:8"
"Mat.22:9","Mat.22:9"
"Mat.22:10","Mat.22:10"
"Mat.22:11","Mat.22:11"
"Mat.22:12","Mat.22:12"
"Mat.22:13","Mat.22:13"
"Mat.22:14","Mat.22:14"
"Mat.22:15","Mat.22:15"
"Mat.22:16","Mat.22:16"
"Mat.22:17","Mat.22:17"
"Mat.22:18","Mat.22:18"
"Mat.22:19","Mat.22:19"
"Mat.22:20","Mat.22:20"
"Mat.22:21","Mat.22:21"
"Mat.22:22","Mat.22:22"
"Mat.22:23","Mat.22:23"
"Mat.22:24","Mat.22:24"
"Mat.22:25","Mat.22:25"
"Mat.22:26","Mat.22:26"
"Mat.22:27","Mat.22:27"
"Mat.22:28","Mat.22:28"
"Mat.22:29","Mat.22:29"
"Mat.22:30","Mat.22:30"
"Mat.22:31","Mat.22:31"
"Mat.22:32","Mat.22:32"
"Mat.22:33","Mat.22:33"
"Mat.22:34","Mat.22:34"
"Mat.22:35","Mat.22:35"
"Mat.22:36","Mat.22:36"
"Mat.22:37","Mat.22:37"
"Mat.22:38","Mat.22:38"
"Mat.22:39","Mat.22:39"
"Mat.22:40","Mat.22:40"
"Mat.22:41","Mat.22:41"
"Mat.22:42","Mat.22:42"
"Mat.22:43","Mat.22:43"
"Mat.22:44","Mat.22:44"
"Mat.22:45","Mat.22:45"
"Mat.22:46","Mat.22:46"
"Mat.23:1","Mat.23:1"
"Mat.23:2","Mat.23:2"
