"NRSV","Original"
"Mat.1:1","Mat.1:1"
"Mat.1:2","Mat.1:2"
"Mat.1:3","Mat.1:3"
"Mat.1:4","Mat.1:4"
"Mat.1:5","Mat.1:5"
"Mat.1:6","Mat.1:6"
"Mat.1:7","Mat.1:7"
"Mat.1:8","Mat.1:8"
"Mat.1:9","Mat.1:9"
"Mat.1:10","Mat.1:10"
"Mat.1:11","Mat.1:11"
"Mat.1:12","Mat.1:12"
"Mat.1:13","Mat.1:13"
"Mat.1:14","Mat.1:14"
"Mat.1:15","Mat.1:15"
"Mat.1:16","Mat.1:16"
"Mat.1:17","Mat.1:17"
"Mat.1:18","Mat.1:18"
"Mat.1:19","Mat.1:19"
"Mat.1:20","Mat.1:20"
"Mat.1:21","Mat.1:21"
"Mat.1:22","Mat.1:22"
"Mat.1:23","Mat.1:23"
"Mat.1:24","Mat.1:24"
"Mat.1:25","Mat.1:25"
"Mat.2:1","Mat.2:1"
"Mat.2:2","Mat.2:2"
"Mat.2:3","Mat.2:3"
"Mat.2:4","Mat.2:4"
"Mat.2:5","Mat.2:5"
"Mat.2:6","Mat.2:6"
"Mat.2:7","Mat.2:7"
"Mat.2:8","Mat.2:8"
"Mat.2:9","Mat.2:9"
"Mat.2:10","Mat.2:10"
"Mat.2:11","Mat.2:11"
"Mat.2:12","Mat.2:12"
"Mat.2:13","Mat.2:13"
"Mat.2:14","Mat.2:14"
"Mat.2:15","Mat.2:15"
"Mat.2:16","Mat.2:16"
"Mat.2:17","Mat.2:17"
"Mat.2:18","Mat.2:18"
"Mat.2:19","Mat.2:19"
"Mat.2:20","Mat.2:20"
"Mat.2:21","Mat.2:21"
"Mat.2:22","Mat.2:22"
"Mat.2:23","Mat.2:23"
"Mat.3:1","Mat.3:1"
"Mat.3:2","Mat.3:2"
"Mat.3:3","Mat.3:3"
"Mat.3:4","Mat.3:4"
"Mat.3:5","Mat.3:5"
"Mat.3:6","Mat.3:6"
"Mat.3:7","Mat.3:7"
"Mat.3:8","Mat.3:8"
"Mat.3:9","Mat.3:9"
"Mat.3:10","Mat.3:10"
"Mat.3:11","Mat.3:11"
"Mat.3:12","Mat.3:12"
"Mat.3:13","Mat.3:13"
"Mat.3:14","Mat.3:14"
"Mat.3:15","Mat.3:15"
"Mat.3:16","Mat.3:16"
"Mat.3:17","Mat.3:17"
"Mat.4:1","Mat.4:1"
"Mat.4:2","Mat.4:2"
"Mat.4:3","Mat.4:3"
"Mat.4:4","Mat.4:4"
